"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Отправка запроса на создание билд конфигурации с invalid data в поле ""project_id"" с разными ролями","0","0","9","0","0"
"","Управление билд конфигурациями","Отправка запроса на копирование уже существующей билд конфигурации с разными ролями","0","0","3","0","0"
"","Управление запуском билд конфигураций","Отправка запроса на запуск одной и той же билд конфигурации несколько раз с разными ролями","1","0","2","0","0"
"","Управление проектами","Изменение данных проекта с использованием невалидного id с последующим корректным его изменением","0","0","3","0","0"
"","","Отправка запроса на создание билд конфигурации с invalid data в поле ""id"" с разными ролями","0","0","9","0","0"
"","Управление проектами","Отправка запроса на создание проекта с невалидными данными в поле ""id"" с разными ролями","0","0","9","0","0"
"","Управление проектами","Создание копии уже существующего проекта с пустым id","0","3","0","0","0"
"","Управление проектами","Отправка запроса на создание проекта с пустым полем ""name"" с разными ролями","0","0","3","0","0"
"","Управление билд конфигурациями","Создание билд конфигурации с невалидными данными","0","0","3","0","0"
"","Управление проектами","Создание проекта с пустым полем ""id"", с уже используемым id","0","3","0","0","0"
"","Управление билд конфигурациями","Отправка запроса на создание билд конфигурации без поля ""steps"" с разными ролями","0","0","3","0","0"
"","Управление билд конфигурациями","Отправка запроса на создание, удаление билд конфигурации и получением информации о ней с разными ролями","0","0","3","0","0"
"","Управление билд конфигурациями","Создание копии билд конфигурации","0","0","3","0","0"
"","Управление проектами","Отправка запроса на создание проекта с уже существующим ""id"" другого проекта с разными ролями","0","0","3","0","0"
"","Управление билд конфигурациями","Отправка запроса на создание билд конфигурации с пустым полем ""steps"" с разными ролями","0","0","3","0","0"
"","","Отправка запроса на создание билд конфигурации с пустым полем ""name"" с разными ролями","0","0","3","0","0"
"","Управление запуском билд конфигураций","Отправка запроса на запуск несуществующей билд конфигурации с разными ролями","0","0","3","0","0"
"","Управление билд конфигурациями","Отправка запроса на создание билд конфигурации с id, которое уже используется, с разными ролями","0","0","3","0","0"
"","","Отправка запроса на копирование уже существующей билд конфигурации с неизвестным source build conf с разными ролями","0","0","3","0","0"
"","Управление проектами","Отправка запроса на создание проекта с пустым полем ""id"" с разными ролями","0","0","3","0","0"
"","Управление проектами","Создание первого проекта","0","3","0","0","0"
"","Управление проектами","Отправка запроса на создание проекта с невалидными данными в поле ""parentProject"" с разными ролями","0","0","12","0","0"
"","Управление проектами","Отправка запроса на создание проекта с пустым полем ""parentProject"" с разными ролями","0","0","3","0","0"
"","Управление проектами","Отправка запроса на копирование проекта с неизвестным id проекта с разными ролями","0","0","3","0","0"
"","Управление билд конфигурациями","Отправка запроса на создание билд конфигурации с пустым полем ""id"" с разными ролями","0","0","3","0","0"
"","Управление проектами","Отправка запроса на создание проекта с уже существующим ""name"" другого проекта с разными ролями","0","0","3","0","0"
"","Управление запуском билд конфигурации","Создание невалидных шагов билд конфигурации с последующим ее запуском","0","0","3","0","0"
"","Управление билд конфигурациями","Отправка запроса на создание билд конфигурации с name, которое уже используется, с разными ролями","0","0","3","0","0"
"","Управление проектами","Отправка запроса на копирование существующего проекта с разными ролями","0","0","3","0","0"
"","Управление билд конфигурациями","Создание копии билд конфигурации с невалидными данными","0","0","3","0","0"
"","Управление проектами","Создание копии уже существующего проекта с изменением id","0","3","0","0","0"
"","Управление проектами","Отправка запроса на создание проекта с булевым значением ""False"" в ""copyAllAssociatedSettings"" с разными ролями","0","0","3","0","0"
"","Управление проектами и билд конфигурациями","Создание проекта и билд конфигурации с последующем для нее запуском под разными ролями","1","0","2","0","0"
"","Критический юзер флоу от создания проекта до запуска билда","Создание проекта, билд конфигурации с последующим запуском","0","0","3","0","0"
"","Управление проектами","Отправка запроса на получение информации об удаленном проекте с разными ролями","0","0","3","0","0"
